"Obs","ECOMORPH","SPECIES","SEX","SVL","MASS","HINDL","FOREL","LAMN"
1,"CG","CU","F",118,37,87,55,30
2,"CG","CU","F",117,46.2,88,53,30
3,"CG","CU","F",119,32,91,53,28
4,"CG","CU","M",136,51,100,63,31
5,"CG","CU","M",127,40.5,97.5,59,30
6,"CG","CU","M",133,40.5,102,60.5,29
7,"CG","CU","M",138,58.5,103,62,31
8,"CG","CU","M",131,47,107,62.5,30
9,"CG","CU","M",137,54.75,105,61,29
10,"CG","GA","F",77,10.2,54,31,30
11,"CG","GA","F",84.5,14,58,35,31
12,"CG","GA","F",75,10.5,53,30,28
13,"CG","GA","F",80,11.75,52,35,29
14,"CG","GA","F",78,11.5,52,33,29
15,"CG","GA","F",85.5,14.75,59,36,28
16,"CG","GA","F",66,6.5,49,29,27
17,"CG","GA","F",81,11.75,55,33,28
18,"CG","GA","F",81.5,15,57,34,26
19,"CG","GA","F",71,9.75,51,31,27
20,"CG","GA","F",83,14,55,33.5,27
21,"CG","GA","F",78,11.5,56,34.5,29
22,"CG","GA","M",103,23.5,71,41,33
23,"CG","GA","M",129,57,86,53,32
24,"CG","GA","M",115,40,81,50.5,29
25,"CG","GA","M",117,41.75,83,51,31
26,"CG","GA","M",122,45.6,85,53,28
27,"CG","GA","M",115,44.5,82,54,28
28,"CG","GA","M",113,42.75,74,52,29
29,"CG","GA","M",116,33,75,48,31
30,"CG","GA","M",113,39,79,48.5,28
31,"CG","GA","M",108,32.25,80,49,31
32,"GB","KR","F",40.5,1.6,31,16,18
33,"GB","KR","F",38.5,1.4,31,16.5,19
34,"GB","KR","F",39,1.4,31,16,19
35,"GB","KR","F",36.5,1.1,31.5,17,22
36,"GB","KR","F",37.5,1.2,31.5,16,18
37,"GB","KR","F",35,1,31,16,20
38,"GB","KR","F",36,1.1,29,16,20
39,"GB","KR","F",37,1,29,14.5,20
40,"GB","KR","F",38,1.35,31,16,19
41,"GB","KR","F",37,1,30.5,16.5,18
42,"GB","KR","F",36,1.1,29,16,19
43,"GB","KR","F",36.5,1.05,30.5,16,20
44,"GB","KR","F",37,1.25,31,16.5,20
45,"GB","KR","F",37,2.3,30,16,19
46,"GB","KR","F",37.5,1.2,31,16,18
47,"GB","KR","F",32,1.3,30,15,20
48,"GB","KR","F",37.5,1.2,30,16,17
49,"GB","KR","F",39.5,1.4,31,16.5,20
50,"GB","KR","F",39.5,1.3,31,16.5,19
51,"GB","KR","M",48,2.6,39,21,17
52,"GB","KR","M",51,2.8,39,21,20
53,"GB","KR","M",49,2.9,43,21.5,20
54,"GB","KR","M",42,1.9,35,18.5,20
55,"GB","KR","M",49,3,41,21.5,20
56,"GB","KR","M",52,2,43,23,19
57,"GB","KR","M",38,1.3,33,17,20
58,"GB","KR","M",45,0.85,31,16,22
59,"GB","KR","M",35,1,30,16,22
60,"GB","KR","M",42.5,1.8,37,19.5,21
61,"GB","KR","M",36,1,32,17,21
62,"GB","KR","M",42,1.45,36,19,21
63,"GB","KR","M",39.5,1.5,35,18.5,20
64,"GB","KR","M",34.5,0.9,32,17,20
65,"GB","KR","M",44,2.1,33,20,20
66,"GB","KR","M",49,3.3,42,22,21
67,"GB","KR","M",35.5,1.1,32,17,20
68,"GB","KR","M",36.5,1,32,16.5,22
69,"GB","PO","F",37.5,1.4,26,14.5,17
70,"GB","PO","F",38,1.4,27,15.5,16
71,"GB","PO","F",36,1.3,28,16,17
72,"GB","PO","F",38.5,1.2,27.5,16,17
73,"GB","PO","F",39.5,1.5,26,15.5,16
74,"GB","PO","F",32,0.7,24,13,16
75,"GB","PO","M",41,1.3,29,17,18
76,"GB","PO","M",45,2.1,32.5,18.5,18
77,"GB","PO","M",44.5,1.8,32,19,19
78,"GB","PO","M",45.5,1.9,31.5,17.5,19
79,"GB","PO","M",41,1.7,33,18,18
80,"GB","PO","M",42,1.9,30.5,17,18
81,"GB","PU","F",32,1.1,27.5,14.5,17
82,"GB","PU","F",35,1.1,25,13.5,17
83,"GB","PU","F",34,0.9,26,14,16
84,"GB","PU","F",40,1.2,29,16,18
85,"GB","PU","F",38,0.9,26,14,20
86,"GB","PU","F",37.5,0.95,27,19.5,20
87,"GB","PU","F",31,1,25.5,14,16
88,"GB","PU","F",35,0.78,26,13.5,18
89,"GB","PU","F",37.5,1.05,26,14,17
90,"GB","PU","F",34,0.75,24,13.5,19
91,"GB","PU","F",34,0.85,25,14.5,18
92,"GB","PU","F",35,1,26,14,19
93,"GB","PU","F",37,1.25,26.5,14,21
94,"GB","PU","F",33,0.85,26,13,18
95,"GB","PU","F",35,1.05,20.5,13.5,18
96,"GB","PU","F",37.5,0.9,26,15.5,16
97,"GB","PU","F",32,0.45,24,13,17
98,"GB","PU","F",35,0.95,24.5,14,18
99,"GB","PU","F",36,1.15,27,14,17
100,"GB","PU","F",34.5,0.9,26.5,16,20
101,"GB","PU","M",42,1.6,31.5,17.5,18
102,"GB","PU","M",42,1.4,32,17,17
103,"GB","PU","M",46.5,2,32,18,19
104,"GB","PU","M",42,1.6,32,17.5,19
105,"GB","PU","M",32,0.65,23.5,12.5,17
106,"GB","PU","M",33.5,0.68,25,13,18
107,"GB","PU","M",34,0.8,25.5,13,19
108,"GB","PU","M",45.5,1.8,34,18,19
109,"GB","PU","M",40,1.65,31,16,21
110,"GB","PU","M",42.5,1.5,32,17.5,18
111,"GB","PU","M",44,1.3,32,17,20
112,"GB","PU","M",43,1.7,30.5,17,18
113,"GB","PU","M",45,1.7,32.5,17,18
114,"GB","PU","M",43,1.5,33,18.5,21
115,"GB","PU","M",44,1.7,32,18,18
116,"GB","PU","M",44,1.95,32,18,20
117,"GB","PU","M",35,0.9,29,16,20
118,"GB","PU","M",42,1.6,30,16,18
119,"GB","PU","M",47,2.3,35,19,19
120,"TC","EV","F",52,3.1,38.5,25,25
121,"TC","EV","F",46,2.5,37,24,26
122,"TC","EV","F",53,3.6,40,25,27
123,"TC","EV","F",50,3,38.5,23.5,24
124,"TC","EV","F",47,2.2,36,22,24
125,"TC","EV","F",50,3,39,24,26
126,"TC","EV","F",47,2.9,38,23,24
127,"TC","EV","F",42.5,3,38,24,26
128,"TC","EV","F",45.5,2.15,35.5,21.5,24
129,"TC","EV","F",42,1.7,34,22,24
130,"TC","EV","F",46.5,3,39.5,25,25
131,"TC","EV","F",48.5,2.6,38,24,26
132,"TC","EV","F",49,3.3,40,24.5,25
133,"TC","EV","F",42,1.6,34,22.5,27
134,"TC","EV","F",48,2.7,39,24,25
135,"TC","EV","F",44.5,1.8,36,23,24
136,"TC","EV","F",48,2.2,38,24,30
137,"TC","EV","F",51,3,39,24.5,27
138,"TC","EV","F",50,2.9,39,25,25
139,"TC","EV","M",65.5,5.7,49,31,28
140,"TC","EV","M",63,6.3,49,32,27
141,"TC","EV","M",59,5.3,45.5,31.5,28
142,"TC","EV","M",55.5,3.8,45,28.5,27
143,"TC","EV","M",59,5.1,48,31,27
144,"TC","EV","M",64,7.2,49,31,25
145,"TC","EV","M",55,4,45,29,28
146,"TC","EV","M",52,3.6,41,27,26
147,"TC","EV","M",52,4.2,45,29,27
148,"TC","EV","M",63,6,49.5,32,28
149,"TC","EV","M",54,3.9,46,27,24
150,"TC","EV","M",50,2.7,38,24,27
151,"TC","EV","M",59,4.7,48.5,30.5,30
152,"TC","EV","M",58,4.4,47,29.5,26
153,"TC","EV","M",55,3.5,44,27,26
154,"TC","EV","M",53.5,3.5,42.5,27,27
155,"TC","GR","F",46,2.6,33.5,19.5,24
156,"TC","GR","F",41.5,1.7,31,19,22
157,"TC","GR","F",41,4.4,33.5,19.5,23
158,"TC","GR","F",45,2.3,32,20,25
159,"TC","GR","F",40.5,1.9,33,20,24
160,"TC","GR","F",44,2.1,34,22,26
161,"TC","GR","F",47,3,32.5,20,23
162,"TC","GR","F",44,2.25,32,19,25
163,"TC","GR","F",41,1.9,30.5,19.5,23
164,"TC","GR","F",44,2.75,31,20,21
165,"TC","GR","F",39,1.9,32,20.5,23
166,"TC","GR","F",45.5,2.9,33,20.5,22
167,"TC","GR","F",45,2.5,32,20,24
168,"TC","GR","F",46,2.8,31,19.5,23
169,"TC","GR","F",42,1.8,30,18.5,24
170,"TC","GR","F",42,1.7,30.5,19.5,25
171,"TC","GR","F",41.5,2.1,30.5,19.5,23
172,"TC","GR","F",44.5,2.5,31,21,23
173,"TC","GR","F",41.5,2.1,30.5,20,22
174,"TC","GR","F",45.5,2.5,31.5,19.5,24
175,"TC","GR","F",42,1.8,31,19.5,23
176,"TC","GR","M",53.5,4,42,21,25
177,"TC","GR","M",65,8.7,48,29.5,27
178,"TC","GR","M",68,8.2,52.5,32.5,26
179,"TC","GR","M",62.5,7,48.5,30,24
180,"TC","GR","M",68,11,52,32,26
181,"TC","GR","M",59,8.5,45,27,24
182,"TC","GR","M",52,4,37.5,24,26
183,"TC","GR","M",61,6.25,44.5,27.5,26
184,"TC","GR","M",48.5,2.25,37,23.5,25
185,"TC","GR","M",47,2.5,35.5,22,23
186,"TC","GR","M",60,6,42,28.5,26
187,"TC","GR","M",60,6.5,45,28,26
188,"TC","GR","M",64,7.25,48,31,27
189,"TC","GR","M",62,7.5,46,30,24
190,"TC","GR","M",62.5,7.25,46,30,24
191,"TC","GR","M",66,8.5,48,30.5,26
192,"TC","GR","M",58.5,5.7,42,26,25
193,"TC","GR","M",63,7.25,47,29,26
194,"TC","OP","F",39.5,1,27,16,19
195,"TC","OP","F",40,1.2,27,18,20
196,"TC","OP","F",36,1,25.5,16,19
197,"TC","OP","F",32,0.6,24.5,14.5,19
198,"TC","OP","F",38.5,1.2,22,17,20
199,"TC","OP","F",39,1.2,27,17,21
200,"TC","OP","F",33,0.7,24.5,15.5,18
201,"TC","OP","F",37.5,1.3,27,17.5,21
202,"TC","OP","F",41.5,1.2,27,17,21
